Location,Title,Year,Model,Price,URL,Post_Date,Posting_Age,z_score
 (ONTARIO CA),2005 TOYOTA TACOMA BASE 2.7 LITER 4CYL...108K MILES,2005,Tacoma,8495,https://inlandempire.craigslist.org/cto/d/2005-toyota-tacoma-base-27/6466957530.html,2018-02-07 20:38,1,-0.2116740905716407
 (Malibu),2005 Toyota Tacoma,2005,Tacoma,8995,https://losangeles.craigslist.org/wst/cto/d/2005-toyota-tacoma/6487287357.html,2018-02-08 18:18,1,-0.1652746844840386
 (El cajon),2010 toyota tacoma,2010,Tacoma,9500,https://losangeles.craigslist.org/wst/cto/d/2010-toyota-tacoma/6489108086.html,2018-02-08 09:08,1,-0.1184112843355605
 (MISSION HILLS),2013 Toyota Tacoma,2013,Tacoma,12500,https://losangeles.craigslist.org/sfv/cto/d/2013-toyota-tacoma/6482348437.html,2018-02-08 13:15,1,0.15998515219005197
 (Lakeside),2014 Toyota Tacoma regular cab base,2014,Tacoma,12500,https://sandiego.craigslist.org/csd/cto/d/2014-toyota-tacoma-regular/6486100489.html,2018-02-08 17:48,1,0.15998515219005197
 (los angeles),2007 TOYOTA TACOMA TRD PRERUNNER,2007,Tacoma,13995,https://losangeles.craigslist.org/lac/cto/d/2007-toyota-tacoma-trd/6474012430.html,2018-02-08 10:23,1,0.2987193763919822
 (Carlsbad),2011 Toyota Tacoma - Low Miles - Minty,2011,Tacoma,14500,https://sandiego.craigslist.org/nsd/cto/d/2011-toyota-tacoma-low-miles/6489192693.html,2018-02-08 10:04,1,0.34558277654046027
 (Rancho Cucamonga),2008 Toyota Tacoma 4 cyl,2008,Tacoma,6500,https://inlandempire.craigslist.org/cto/d/2008-toyota-tacoma-4-cyl/6488357404.html,2018-02-07 14:43,2,-0.396807720861173
 (RIVERSIDE),2001 TOYOTA TACOMA *** LIKE NEW ***,2001,Tacoma,8900,https://inlandempire.craigslist.org/cto/d/2001-toyota-tacoma-like-new/6485898306.html,2018-02-07 15:39,2,-0.174090571640683
 (west covina ca),Toyota Tacoma 2011 Regular Cab 39500 Miles in Good Conditions,2011,Tacoma,12000,https://inlandempire.craigslist.org/cto/d/toyota-tacoma-2011-regular/6488156495.html,2018-02-07 12:14,2,0.11358574610244988
 (Hollywood),2013 TOYOTA TACOMA XTRA CAB SR5,2013,Tacoma,13900,https://losangeles.craigslist.org/sfv/cto/d/2013-toyota-tacoma-xtra-cab/6487998745.html,2018-02-07 10:29,2,0.28990348923533776
 (anaheim),Tacoma 2008,2008,Tacoma,14500,https://orangecounty.craigslist.org/cto/d/tacoma-2008/6487993017.html,2018-02-07 10:25,2,0.34558277654046027
 (Los Angeles),"Super Clean 2001 Toyota Tacoma For Sale ,,,,,.....,,,,,,,,,,,,........",2001,Tacoma,1100,https://losangeles.craigslist.org/wst/cto/d/super-clean-2001-toyota/6487124295.html,2018-02-06 14:54,3,-0.8979213066072754
 (Lakewood),2008 Toyota Tacoma,2008,Tacoma,8700,https://losangeles.craigslist.org/lac/cto/d/2008-toyota-tacoma/6486710492.html,2018-02-06 10:02,3,-0.19265033407572382
 (Rancho cucamonga ca),Toyota Tacoma TRD V6 2004,2004,Tacoma,10999,https://losangeles.craigslist.org/sfv/cto/d/toyota-tacoma-trd-v6-2004/6468276470.html,2018-02-05 20:42,3,0.02069413511507053
 (los angeles),2007 TOYOTA TACOMA TRD PRERUNNER,2007,Tacoma,13995,https://losangeles.craigslist.org/lac/cto/d/2007-toyota-tacoma-trd/6470158254.html,2018-02-06 16:28,3,0.2987193763919822
 (Lakewood),2008 Toyota Tacoma cuatro puertas,2008,Tacoma,8600,https://losangeles.craigslist.org/lac/cto/d/2008-toyota-tacoma-cuatro/6485817279.html,2018-02-05 14:13,4,-0.20193021529324426
 (Los Angeles CA),New Condition 2001 Tacoma***********************************,2001,Tacoma,1100,https://losangeles.craigslist.org/wst/cto/d/new-condition-2001-tacoma/6484691093.html,2018-02-04 16:12,5,-0.8979213066072754
 (Encinitas),2000 Toyota Tacoma SR5,2000,Tacoma,8000,https://sandiego.craigslist.org/nsd/cto/d/2000-toyota-tacoma-sr5/6481515338.html,2018-02-04 10:36,5,-0.25760950259836674
 (Duarte),2007 tacoma prerunner,2007,Tacoma,9950,https://losangeles.craigslist.org/sgv/cto/d/2007-tacoma-prerunner/6477803300.html,2018-02-04 09:40,5,-0.07665181885671864
 (Rancho santa margarita),2002 Toyota Tacoma,2002,Tacoma,11000,https://orangecounty.craigslist.org/cto/d/2002-toyota-tacoma/6484611602.html,2018-02-04 13:35,5,0.020786933927245732
 (Los Angeles),2008 TOYOTA TACOMA LOW MILEAGE,2008,Tacoma,14400,https://losangeles.craigslist.org/lac/cto/d/2008-toyota-tacoma-low-mileage/6484660883.html,2018-02-04 14:23,5,0.3363028953229399
 (Redlands),2005 Toyota Tacoma PreRunner,2005,Tacoma,9500,https://inlandempire.craigslist.org/cto/d/2005-toyota-tacoma-prerunner/6472931943.html,2018-02-01 19:08,8,-0.1184112843355605
 (Newberry Springs),2010 Toyota Tacoma SR5,2010,Tacoma,12900,https://inlandempire.craigslist.org/cto/d/2010-toyota-tacoma-sr5/6481472151.html,2018-02-01 18:57,8,0.19710467706013363
 (Pasadena),2003 Toyota tacoma,2003,Tacoma,7200,https://losangeles.craigslist.org/sgv/cto/d/2003-toyota-tacoma/6479157816.html,2018-01-30 22:08,9,-0.33184855233853006
 (San Clemente),2010 Toyota Tacoma Single cab prerunner,2010,Tacoma,10800,https://orangecounty.craigslist.org/cto/d/2010-toyota-tacoma-single-cab/6469088630.html,2018-01-31 19:57,9,0.0022271714922048997
 (San Diego),2006 Toyota Tacoma V6 X Runner 98k miles clean title,2006,Tacoma,11500,https://sandiego.craigslist.org/csd/cto/d/2006-toyota-tacoma-v6-runner/6476654670.html,2018-01-28 21:46,11,0.06718634001484781
 (Calabasas),"2007 Toyota Tacoma,TRD,CLEAN TITLE,VERYCLEAN, no accident, runs great",2007,Tacoma,11900,https://losangeles.craigslist.org/sfv/cto/d/2007-toyota-tacomatrdclean/6476405995.html,2018-01-28 16:03,12,0.10430586488492948
 (San Marcos),Toyota Tacoma off road truck 2001,2001,Tacoma,14995,https://sandiego.craigslist.org/nsd/cto/d/toyota-tacoma-off-road-truck/6447639191.html,2018-01-28 11:57,12,0.39151818856718634
 (Mar Vista),Tacoma 2008 4x4,2008,Tacoma,11950,https://losangeles.craigslist.org/wst/cto/d/tacomax4/6472672370.html,2018-01-25 12:03,15,0.10894580549368968
 (Sun Valley),2012 TOYOTA TACOMA FOR SALE,2012,Tacoma,13500,https://losangeles.craigslist.org/sfv/cto/d/2012-toyota-tacoma-for-sale/6470063068.html,2018-01-23 10:09,17,0.25278396436525613
 (Rancho Santa Fe),"2006 Toyota Tacoma, access cab, 4 cylinder",2006,Tacoma,11000,https://sandiego.craigslist.org/nsd/cto/d/2006-toyota-tacoma-access-cab/6467581953.html,2018-01-21 09:15,19,0.020786933927245732
 (626),2008 Toyota Tacoma clean low miles,2008,Tacoma,15000,https://losangeles.craigslist.org/sgv/cto/d/2008-toyota-tacoma-clean-low/6452981350.html,2018-01-20 18:26,20,0.39198218262806234
 (Oceanside),2001 Toyota Tacoma,2001,Tacoma,12000,https://sandiego.craigslist.org/csd/cto/d/2001-toyota-tacoma/6456236658.html,2018-01-12 23:10,27,0.11358574610244988
